generation,prop0,prop1,prop2,prop3,prop4,prop5,prop6,prop7,prop8,prop9,prop10,prop11,prop12,prop13,prop14,prop15
32,1.99768e-07,0,1.4583e-05,0,3.87549e-05,0,0.00672778,1.21858e-05,3.79559e-06,0,0.00253945,3.99536e-06,0.00200187,6.39257e-06,0.986894,0.00175736
33,0,0,1.47205e-05,0,3.78527e-05,0,0.0067094,1.19867e-05,3.99557e-06,0,0.00253971,3.78527e-06,0.00200809,6.0985e-06,0.986909,0.00175532
34,0,0,1.2922e-05,0,3.81697e-05,0,0.00673635,1.23256e-05,4.17481e-06,0,0.00253848,3.77721e-06,0.00201444,5.76521e-06,0.986871,0.00176256
35,0,0,1.29766e-05,0,3.83018e-05,0,0.00674488,1.23487e-05,4.18598e-06,0,0.00254006,3.76739e-06,0.00201492,5.86038e-06,0.986862,0.00176021
36,0,0,1.25814e-05,0,3.87429e-05,0,0.00674785,1.13832e-05,4.19382e-06,0,0.00253886,3.5947e-06,0.00202142,5.59176e-06,0.986849,0.0017668
37,0,0,1.21926e-05,0,3.88902e-05,0,0.00675408,1.11415e-05,4.20435e-06,0,0.00254742,3.36348e-06,0.0020183,5.67587e-06,0.986836,0.00176856
38,0,0,1.25311e-05,0,3.87868e-05,0,0.00674612,1.0741e-05,4.57486e-06,0,0.00255317,3.38142e-06,0.00201115,5.56939e-06,0.986842,0.00177166
39,0,0,1.27741e-05,0,3.93693e-05,0,0.00674094,1.04706e-05,4.60704e-06,0,0.00255461,3.55999e-06,0.00201076,5.23528e-06,0.986846,0.0017712
40,0,0,1.23787e-05,0,3.97315e-05,0,0.00674597,1.07814e-05,4.59208e-06,0,0.00256398,3.5938e-06,0.00199995,4.99139e-06,0.986848,0.00176596
41,0,0,1.28206e-05,0,4.01432e-05,0,0.00673271,1.13494e-05,4.62383e-06,0,0.00256559,3.57296e-06,0.00199518,4.834e-06,0.986871,0.00175769
42,0,0,1.21344e-05,0,4.07796e-05,0,0.0067531,1.13387e-05,4.7742e-06,0,0.00257309,3.58065e-06,0.00199601,4.37635e-06,0.986855,0.00174557
43,0,0,1.23542e-05,0,4.02035e-05,0,0.00675273,1.13072e-05,4.60666e-06,0,0.00257533,3.55969e-06,0.00199803,4.39726e-06,0.986848,0.00174906
44,0,0,1.15791e-05,0,4.01277e-05,0,0.00675862,1.13795e-05,4.59173e-06,0,0.00258734,3.19424e-06,0.00200858,4.59173e-06,0.986819,0.00175124
45,0,0,1.09308e-05,0,4.05701e-05,0,0.00676554,1.15614e-05,4.62458e-06,0,0.00258724,3.15312e-06,0.00201001,4.41437e-06,0.986809,0.00175271
46,0,0,1.1733e-05,0,3.83807e-05,0,0.00674546,1.1733e-05,4.97159e-06,0,0.00258722,2.98296e-06,0.00201509,5.17046e-06,0.986834,0.00174364
47,0,0,1.13056e-05,0,3.76853e-05,0,0.00674148,1.06775e-05,4.81535e-06,0,0.00259401,3.14044e-06,0.00200695,5.23407e-06,0.986844,0.00174022
48,0,0,1.2378e-05,0,3.65352e-05,0,0.00674364,1.03816e-05,4.59186e-06,0,0.00257364,3.59363e-06,0.00198728,5.59009e-06,0.986876,0.0017463
49,0,0,1.26113e-05,0,3.6783e-05,0,0.00675042,1.05094e-05,4.62415e-06,0,0.00256409,3.57321e-06,0.00198271,5.67509e-06,0.986891,0.00173805
50,0,0,1.25336e-05,0,3.52135e-05,0,0.00675342,1.03452e-05,5.1726e-06,0,0.00256402,3.97892e-06,0.00199463,6.36627e-06,0.986867,0.00174695
51,0,0,1.23577e-05,0,3.58163e-05,0,0.00675546,9.63479e-06,5.2363e-06,0,0.00257186,4.18904e-06,0.00199629,6.49301e-06,0.986852,0.00175039
52,0,0,1.29738e-05,0,3.5129e-05,0,0.00674636,9.78023e-06,5.18951e-06,0,0.002572,4.19153e-06,0.00199457,6.58669e-06,0.986859,0.00175405
53,0,0,1.28186e-05,0,3.50936e-05,0,0.00673229,9.87663e-06,5.25353e-06,0,0.00256582,4.41296e-06,0.00199991,6.51437e-06,0.986872,0.00175594
54,0,0,1.15393e-05,0,3.70054e-05,0,0.00671568,9.94768e-06,5.96861e-06,0,0.00257148,4.97384e-06,0.00199272,7.56024e-06,0.986886,0.00175736
55,0,0,1.21492e-05,0,3.60288e-05,0,0.00672,1.0264e-05,6.28409e-06,0,0.00256894,4.60833e-06,0.00198661,7.75038e-06,0.986887,0.00176059
