generation,prop0,prop1,prop2,prop3,prop4,prop5,prop6,prop7,prop8,prop9,prop10,prop11,prop12,prop13,prop14,prop15
3331,0,0,6.09136e-06,0,3.48678e-05,0,0.00677759,1.28129e-05,1.89042e-06,0,0.00256572,4.41099e-06,0.00196415,5.04113e-06,0.986794,0.00183308
3332,0,0,6.37085e-06,0,3.48406e-05,0,0.00678894,1.3339e-05,1.99089e-06,0,0.00256168,4.57905e-06,0.00196262,4.57905e-06,0.986791,0.00183003
3333,0,0,6.49712e-06,0,3.56293e-05,0,0.00678299,1.27846e-05,2.09584e-06,0,0.00256007,4.82044e-06,0.00196716,3.77252e-06,0.98679,0.00183407
3334,0,0,6.58343e-06,0,3.51116e-05,0,0.00678373,1.29674e-05,2.59347e-06,0,0.00255537,4.58845e-06,0.00196266,4.98745e-06,0.986796,0.00183578
3335,0,0,6.93045e-06,0,3.48623e-05,0,0.00679373,1.32309e-05,2.52016e-06,0,0.0025586,3.99026e-06,0.00196384,5.04033e-06,0.986775,0.00184203
3336,0,0,6.76756e-06,0,3.38378e-05,0,0.00681991,1.27389e-05,2.78664e-06,0,0.00255714,3.78187e-06,0.0019606,4.7771e-06,0.986755,0.00184217
3337,0,0,6.91445e-06,0,3.45723e-05,0,0.00682813,1.27813e-05,2.72388e-06,0,0.0025682,3.98105e-06,0.00195595,5.02869e-06,0.986738,0.00184406
3338,0,0,6.38541e-06,0,3.45211e-05,0,0.00681283,1.25713e-05,2.79362e-06,0,0.00256773,3.99088e-06,0.00194057,4.9886e-06,0.98678,0.00183321
3339,0,0,6.30201e-06,0,3.48711e-05,0,0.00680722,1.21839e-05,2.5208e-06,0,0.00256744,3.7812e-06,0.00193808,5.04161e-06,0.986786,0.0018364
3340,0,0,6.17082e-06,0,3.4039e-05,0,0.00680841,1.11473e-05,2.38871e-06,0,0.00256228,3.98118e-06,0.00192171,4.77741e-06,0.986798,0.00184727
3341,0,0,6.49594e-06,0,3.31084e-05,0,0.00682179,1.08964e-05,2.51456e-06,0,0.00256715,3.98138e-06,0.00191567,4.61002e-06,0.986789,0.00184485
3342,0,0,6.78271e-06,0,3.23176e-05,0,0.00681124,1.03736e-05,2.99237e-06,0,0.00256087,3.98983e-06,0.00191253,4.98729e-06,0.9868,0.00185348
3343,0,0,6.30022e-06,0,3.21311e-05,0,0.00681684,1.07104e-05,2.9401e-06,0,0.00256713,3.99014e-06,0.00192136,5.04018e-06,0.986781,0.00185269
3344,0,0,5.77296e-06,0,3.20499e-05,0,0.00682244,1.07496e-05,2.78695e-06,0,0.00256897,3.78228e-06,0.00194967,5.17576e-06,0.986733,0.00186586
3345,0,0,6.07653e-06,0,3.14303e-05,0,0.0068296,1.13149e-05,2.9335e-06,0,0.00257142,3.77164e-06,0.00194973,5.44792e-06,0.986722,0.00186654
3346,0,0,6.58413e-06,0,3.25216e-05,0,0.00682714,1.17716e-05,2.99279e-06,0,0.0025708,3.79086e-06,0.00194631,5.38701e-06,0.986723,0.00186949
3347,0,0,6.51212e-06,0,3.17203e-05,0,0.00681924,1.2184e-05,2.94096e-06,0,0.00256746,3.9913e-06,0.00194881,5.25171e-06,0.986734,0.00186772
3348,0,0,6.76837e-06,0,3.18512e-05,0,0.00684442,1.17451e-05,2.98605e-06,0,0.00257099,3.9814e-06,0.00193376,4.37954e-06,0.986728,0.0018611
3349,0,0,6.70509e-06,0,3.18492e-05,0,0.00684925,1.15244e-05,3.14301e-06,0,0.00257622,4.19068e-06,0.00192625,4.19068e-06,0.986721,0.00186548
