generation,vv,vv,vv,vv,vv,vv,vv,vv,vv,vv,vv,vv,vv,vv,vv,vv
37,0,0,1.56E-05,0,3.45E-05,0,0.0066452,7.36E-06,2.31E-06,0,0.00250441,1.68E-06,0.0020114,6.31E-06,0.986933,0.00183808
38,0,0,1.45E-05,0,3.38E-05,0,0.00664413,6.96E-06,2.58E-06,0,0.00250305,1.99E-06,0.0020129,5.96E-06,0.986939,0.001835
39,0,0,1.38E-05,0,3.35E-05,0,0.00663038,6.70E-06,2.51E-06,0,0.00250196,2.09E-06,0.00201002,6.07E-06,0.986958,0.00183509
40,0,0,1.38E-05,0,3.22E-05,0,0.0066315,6.79E-06,2.60E-06,0,0.00250464,2.00E-06,0.00201338,6.59E-06,0.986948,0.00183878
41,0,0,1.35E-05,0,3.22E-05,0,0.00663518,6.31E-06,2.73E-06,0,0.00250449,1.89E-06,0.00201802,6.52E-06,0.98694,0.00183904
42,0,0,1.29E-05,0,3.28E-05,0,0.00664693,6.16E-06,3.38E-06,0,0.00249183,1.99E-06,0.00201692,6.96E-06,0.986937,0.00184338
43,0,0,1.28E-05,0,3.33E-05,0,0.00666048,6.49E-06,3.56E-06,0,0.00249355,2.09E-06,0.00201932,6.70E-06,0.986919,0.00184311
44,0,0,1.40E-05,0,3.12E-05,0,0.00668218,7.19E-06,3.60E-06,0,0.00250045,2.00E-06,0.00200827,6.59E-06,0.986891,0.00185406
45,0,0,1.43E-05,0,3.15E-05,0,0.00669791,7.15E-06,2.94E-06,0,0.00250985,2.10E-06,0.00200148,6.31E-06,0.98688,0.00184647
46,0,0,1.47E-05,0,3.26E-05,0,0.00668066,6.96E-06,2.98E-06,0,0.0025126,1.99E-06,0.00199768,6.36E-06,0.986891,0.00185201
47,0,0,1.49E-05,0,3.26E-05,0,0.00666842,6.70E-06,2.93E-06,0,0.00251125,2.09E-06,0.00199268,6.49E-06,0.986907,0.00185519
48,0,0,1.54E-05,0,3.28E-05,0,0.00667269,6.59E-06,2.60E-06,0,0.00252369,2.20E-06,0.00199709,6.59E-06,0.986898,0.00184247
49,0,0,1.56E-05,0,3.32E-05,0,0.006676,6.73E-06,2.73E-06,0,0.00252061,2.31E-06,0.002,6.52E-06,0.98689,0.00184651
50,0,0,1.51E-05,0,3.30E-05,0,0.00667367,6.56E-06,2.78E-06,0,0.00252211,2.58E-06,0.00200481,6.36E-06,0.986883,0.00185013
51,0,0,1.47E-05,0,3.27E-05,0,0.00666435,6.28E-06,2.30E-06,0,0.00252438,2.72E-06,0.00200113,6.70E-06,0.986891,0.00185378
52,0,0,1.52E-05,0,3.20E-05,0,0.00664953,6.59E-06,2.20E-06,0,0.00252954,2.40E-06,0.00200065,7.79E-06,0.986905,0.0018496
53,0,0,1.43E-05,0,3.26E-05,0,0.00664084,6.73E-06,2.31E-06,0,0.00253089,2.52E-06,0.00199492,7.99E-06,0.986919,0.00184768
54,0,0,1.41E-05,0,3.34E-05,0,0.00665186,7.75E-06,2.58E-06,0,0.0025411,2.38E-06,0.00198721,7.75E-06,0.986904,0.00184809
55,0,0,1.40E-05,0,3.33E-05,0,0.00666362,8.16E-06,2.51E-06,0,0.00254735,2.30E-06,0.00198595,7.53E-06,0.986885,0.00184994
56,0,0,1.40E-05,0,3.42E-05,0,0.00666208,8.19E-06,3.20E-06,0,0.00255615,2.20E-06,0.00198534,7.99E-06,0.986885,0.00184129
57,0,0,1.39E-05,0,3.34E-05,0,0.00666566,7.99E-06,3.36E-06,0,0.00255767,2.31E-06,0.0019785,7.57E-06,0.986887,0.00184307
58,0,0,1.49E-05,0,3.44E-05,0,0.00666248,7.95E-06,2.78E-06,0,0.00255328,2.39E-06,0.00198739,7.56E-06,0.986881,0.00184621
59,0,0,1.47E-05,0,3.50E-05,0,0.00665853,7.95E-06,2.72E-06,0,0.00255318,2.51E-06,0.00199385,7.54E-06,0.986871,0.00185319
60,0,0,1.52E-05,0,3.58E-05,0,0.00665861,7.99E-06,3.00E-06,0,0.00255722,2.80E-06,0.00199137,7.59E-06,0.98686,0.00186054
61,0,0,1.58E-05,0,3.60E-05,0,0.00666237,7.99E-06,2.73E-06,0,0.0025519,2.73E-06,0.00199089,7.36E-06,0.986851,0.00187082
62,0,0,1.51E-05,0,3.62E-05,0,0.00668907,7.16E-06,2.98E-06,0,0.00255189,3.38E-06,0.00197793,7.16E-06,0.986839,0.00187058
63,0,0,1.53E-05,0,3.60E-05,0,0.00669204,7.33E-06,2.93E-06,0,0.00254881,3.35E-06,0.0019835,6.28E-06,0.986842,0.00186274
64,0,0,1.50E-05,0,3.56E-05,0,0.0066798,6.99E-06,3.00E-06,0,0.00254742,3.20E-06,0.00198049,6.79E-06,0.986858,0.00186362
65,0,0,1.47E-05,0,3.57E-05,0,0.00666083,6.94E-06,3.15E-06,0,0.00254902,3.15E-06,0.00198357,6.73E-06,0.986876,0.00186035
66,0,0,1.59E-05,0,3.78E-05,0,0.00662511,6.36E-06,3.18E-06,0,0.00256868,2.98E-06,0.0019966,7.56E-06,0.986868,0.00186735
67,0,0,1.63E-05,0,3.83E-05,0,0.0066325,6.49E-06,2.93E-06,0,0.00256397,3.14E-06,0.00199511,7.96E-06,0.986865,0.00186844
68,0,0,1.50E-05,0,3.95E-05,0,0.00663381,6.19E-06,3.20E-06,0,0.00255809,3.20E-06,0.00198383,7.59E-06,0.986877,0.00187238
69,0,0,1.58E-05,0,3.91E-05,0,0.00662778,6.31E-06,3.15E-06,0,0.00256008,3.36E-06,0.00198255,7.36E-06,0.98689,0.00186503
70,0,0,1.55E-05,0,3.88E-05,0,0.00663863,6.56E-06,2.98E-06,0,0.00254638,3.18E-06,0.00199026,7.16E-06,0.986898,0.00185247
71,0,0,1.47E-05,0,3.93E-05,0,0.00665443,6.49E-06,3.14E-06,0,0.00254276,3.35E-06,0.00199252,7.33E-06,0.98688,0.00185606
72,0,0,1.46E-05,0,4.00E-05,0,0.00666937,7.59E-06,3.40E-06,0,0.00254733,3.20E-06,0.0019938,8.19E-06,0.986863,0.00184917
