generation,vv,vv,vv,vv,vv,vv,vv,vv,vv,vv,vv,vv,vv,vv,vv,vv
4769,0,0,1.62E-05,0,4.14E-05,0,0.00655998,8.82E-06,4.62E-06,0,0.00255262,3.78E-06,0.00187125,7.14E-06,0.9871,0.00183428
4770,0,0,1.55E-05,0,3.92E-05,0,0.00656803,9.36E-06,4.18E-06,0,0.00254687,3.19E-06,0.00187581,7.37E-06,0.987082,0.00184894
4771,0,0,1.57E-05,0,3.96E-05,0,0.00656798,9.64E-06,3.98E-06,0,0.00255086,3.35E-06,0.001876,7.55E-06,0.987073,0.00185231
4772,0,0,1.56E-05,0,3.65E-05,0,0.00657905,9.57E-06,4.59E-06,0,0.00255916,2.99E-06,0.00186808,8.37E-06,0.987057,0.00185891
4773,0,0,1.57E-05,0,3.76E-05,0,0.00657294,9.45E-06,4.83E-06,0,0.00255977,3.15E-06,0.00186488,7.98E-06,0.987064,0.00185984
4774,0,0,1.49E-05,0,3.78E-05,0,0.00654551,9.36E-06,4.38E-06,0,0.00257722,2.79E-06,0.00186247,7.37E-06,0.987082,0.00185629
4775,0,0,1.43E-05,0,3.75E-05,0,0.00653495,9.64E-06,3.77E-06,0,0.00258203,2.52E-06,0.00186063,7.13E-06,0.987091,0.00185665
4776,0,0,1.42E-05,0,3.57E-05,0,0.00653566,9.37E-06,3.99E-06,0,0.00257121,2.79E-06,0.0018673,6.98E-06,0.987092,0.00186112
4777,0,0,1.45E-05,0,3.55E-05,0,0.00653883,9.23E-06,3.99E-06,0,0.00257768,2.52E-06,0.00186569,7.13E-06,0.987085,0.00185981
4778,0,0,1.55E-05,0,3.61E-05,0,0.00653443,9.17E-06,4.18E-06,0,0.00258078,2.39E-06,0.00185707,6.77E-06,0.987096,0.00185767
4779,0,0,1.51E-05,0,3.52E-05,0,0.00653287,9.65E-06,4.40E-06,0,0.00257036,2.10E-06,0.00186054,6.92E-06,0.987114,0.00184837
4780,0,0,1.59E-05,0,3.37E-05,0,0.00654693,9.96E-06,4.78E-06,0,0.00258992,2.39E-06,0.00185595,6.58E-06,0.987091,0.00184319
4781,0,0,1.62E-05,0,3.38E-05,0,0.00655033,9.65E-06,5.04E-06,0,0.00259785,2.52E-06,0.00185351,6.50E-06,0.987079,0.00184533
4782,0,0,1.53E-05,0,3.41E-05,0,0.00656141,9.77E-06,5.38E-06,0,0.00260025,2.59E-06,0.00184971,5.78E-06,0.987069,0.00184672
4783,0,0,1.51E-05,0,3.48E-05,0,0.00655679,9.86E-06,4.83E-06,0,0.00259598,2.73E-06,0.00184306,6.09E-06,0.987084,0.00184684
4784,0,0,1.51E-05,0,3.17E-05,0,0.00656003,1.02E-05,4.98E-06,0,0.00258631,3.39E-06,0.00183899,5.78E-06,0.987093,0.00185015
4785,0,0,1.53E-05,0,3.10E-05,0,0.00655732,9.86E-06,4.82E-06,0,0.0025965,3.36E-06,0.00184364,6.08E-06,0.987082,0.00185015
4786,0,0,1.49E-05,0,3.13E-05,0,0.00656046,9.97E-06,4.78E-06,0,0.00258161,3.19E-06,0.00184033,5.98E-06,0.987094,0.00185309
4787,0,0,1.49E-05,0,3.06E-05,0,0.00655552,9.86E-06,4.83E-06,0,0.00258498,3.36E-06,0.00184678,5.67E-06,0.987092,0.0018516
4788,0,0,1.49E-05,0,3.05E-05,0,0.00654864,8.77E-06,4.38E-06,0,0.00258718,3.98E-06,0.00184645,5.38E-06,0.987085,0.00186458
4789,0,0,1.55E-05,0,2.94E-05,0,0.00654525,8.81E-06,4.40E-06,0,0.00258236,3.99E-06,0.00185266,5.45E-06,0.987085,0.00186672
4790,0,0,1.53E-05,0,3.01E-05,0,0.0065521,8.77E-06,4.58E-06,0,0.00257491,3.79E-06,0.00184139,5.38E-06,0.987101,0.00186252
4791,0,0,1.57E-05,0,2.98E-05,0,0.00654759,9.23E-06,4.62E-06,0,0.00257753,3.78E-06,0.00183984,4.83E-06,0.98711,0.00185704
4792,0,0,1.57E-05,0,2.93E-05,0,0.00653518,1.02E-05,4.38E-06,0,0.00257542,3.79E-06,0.00185089,4.18E-06,0.987104,0.00186682
4793,0,0,1.59E-05,0,2.96E-05,0,0.00652303,9.86E-06,4.61E-06,0,0.00257108,3.98E-06,0.00184688,4.19E-06,0.987121,0.00186996
4794,0,0,1.61E-05,0,3.07E-05,0,0.00651848,1.06E-05,4.39E-06,0,0.00256438,3.99E-06,0.00185237,4.19E-06,0.987112,0.00188247
4795,0,0,1.59E-05,0,3.11E-05,0,0.00651279,1.09E-05,4.41E-06,0,0.00256122,3.99E-06,0.00184548,4.41E-06,0.987124,0.00188577
4796,0,0,1.59E-05,0,3.01E-05,0,0.00651108,1.04E-05,4.58E-06,0,0.00254454,3.98E-06,0.00184739,4.78E-06,0.987147,0.00188006
4797,0,0,1.57E-05,0,3.06E-05,0,0.00651666,1.07E-05,4.19E-06,0,0.00254538,3.98E-06,0.00185058,4.82E-06,0.987132,0.00188518
4798,0,0,1.55E-05,0,3.07E-05,0,0.00650981,1.02E-05,3.59E-06,0,0.00255434,3.39E-06,0.00185297,4.78E-06,0.987126,0.00188865
4799,0,0,1.51E-05,0,3.04E-05,0,0.0065145,1.01E-05,3.57E-06,0,0.00254567,3.36E-06,0.00185412,4.62E-06,0.987129,0.00188979
4800,0,0,1.41E-05,0,2.95E-05,0,0.00649821,1.06E-05,3.59E-06,0,0.00256318,2.79E-06,0.00184687,4.58E-06,0.987139,0.00188732
4801,0,0,1.45E-05,0,3.00E-05,0,0.00649151,1.07E-05,3.36E-06,0,0.00256674,2.73E-06,0.00185469,4.61E-06,0.987128,0.00189349
4802,0,0,1.50E-05,0,3.07E-05,0,0.00648338,1.10E-05,3.59E-06,0,0.00256604,2.79E-06,0.00186926,4.39E-06,0.987113,0.00190135
4803,0,0,1.51E-05,0,3.11E-05,0,0.00647339,1.09E-05,3.36E-06,0,0.00257345,2.94E-06,0.00186696,4.62E-06,0.987111,0.00190768
4804,0,0,1.57E-05,0,3.19E-05,0,0.00645634,1.14E-05,2.99E-06,0,0.00255768,3.39E-06,0.00185363,3.98E-06,0.987166,0.00189685
4805,0,0,1.59E-05,0,3.19E-05,0,0.00646988,1.17E-05,2.93E-06,0,0.00256326,3.56E-06,0.00185405,3.77E-06,0.98715,0.00189304
4806,0,0,1.67E-05,0,3.25E-05,0,0.00648797,1.20E-05,3.19E-06,0,0.00257433,2.79E-06,0.00185803,3.59E-06,0.987123,0.00188594
4807,0,0,1.70E-05,0,3.17E-05,0,0.00647866,1.15E-05,3.36E-06,0,0.00257652,2.52E-06,0.00185599,3.78E-06,0.987141,0.00187761
4808,0,0,1.83E-05,0,3.05E-05,0,0.00648746,1.14E-05,3.39E-06,0,0.00259056,2.59E-06,0.00185125,3.98E-06,0.987117,0.00188352
4809,0,0,1.76E-05,0,3.12E-05,0,0.00648495,1.17E-05,3.56E-06,0,0.00259025,2.52E-06,0.0018485,3.77E-06,0.987119,0.00188729
4810,0,0,1.64E-05,0,2.95E-05,0,0.00649295,1.20E-05,3.59E-06,0,0.00257316,2.39E-06,0.00185986,4.19E-06,0.987115,0.00189058
4811,0,0,1.68E-05,0,3.02E-05,0,0.00648854,1.24E-05,3.15E-06,0,0.00258634,2.10E-06,0.00186542,4.41E-06,0.9871,0.0018902
4812,0,0,1.71E-05,0,2.95E-05,0,0.00648817,1.25E-05,3.39E-06,0,0.00258691,2.39E-06,0.00186998,4.18E-06,0.987094,0.00189228
4813,0,0,1.68E-05,0,2.98E-05,0,0.00647637,1.28E-05,3.35E-06,0,0.00259168,2.52E-06,0.00186686,4.19E-06,0.987106,0.00188951
4814,0,0,1.71E-05,0,3.11E-05,0,0.00647884,1.30E-05,3.99E-06,0,0.00258942,2.39E-06,0.00186973,4.39E-06,0.987102,0.00188827
4815,0,0,1.70E-05,0,3.06E-05,0,0.00646609,1.28E-05,3.99E-06,0,0.00258896,2.52E-06,0.00188053,4.41E-06,0.987109,0.00188368
4816,0,0,1.65E-05,0,3.09E-05,0,0.00648308,1.24E-05,3.98E-06,0,0.00259295,3.39E-06,0.00187246,4.18E-06,0.987084,0.00189656
4817,0,0,1.66E-05,0,3.15E-05,0,0.00648592,1.24E-05,4.19E-06,0,0.00258711,3.36E-06,0.00187559,4.40E-06,0.987085,0.00189362
4818,0,0,1.75E-05,0,2.97E-05,0,0.00647176,1.28E-05,4.19E-06,0,0.002585,3.19E-06,0.00186474,4.39E-06,0.987114,0.00189245
4819,0,0,1.76E-05,0,3.04E-05,0,0.0064725,1.32E-05,4.20E-06,0,0.00258854,3.15E-06,0.00185993,4.62E-06,0.987113,0.00189288
4820,0,0,1.65E-05,0,3.09E-05,0,0.00646889,1.33E-05,4.38E-06,0,0.00257007,2.79E-06,0.00185559,4.98E-06,0.987139,0.00189344
4821,0,0,1.68E-05,0,3.10E-05,0,0.00646541,1.32E-05,4.61E-06,0,0.00256595,2.73E-06,0.00185119,5.24E-06,0.987151,0.00189249
4822,0,0,1.73E-05,0,3.19E-05,0,0.00646169,1.26E-05,4.59E-06,0,0.00256458,2.79E-06,0.00185933,5.58E-06,0.987146,0.00189323
4823,0,0,1.81E-05,0,3.27E-05,0,0.00645856,1.22E-05,4.62E-06,0,0.00256424,2.94E-06,0.00185985,5.67E-06,0.987149,0.00189238
4824,0,0,1.83E-05,0,3.37E-05,0,0.0064535,1.19E-05,3.98E-06,0,0.00255957,2.99E-06,0.00185674,5.97E-06,0.987159,0.00189419
4825,0,0,1.80E-05,0,3.42E-05,0,0.00644741,1.11E-05,3.56E-06,0,0.00255217,2.94E-06,0.0018582,5.87E-06,0.987174,0.00189238
4826,0,0,1.95E-05,0,3.47E-05,0,0.00645875,1.18E-05,3.79E-06,0,0.00254465,3.39E-06,0.00185903,6.18E-06,0.98716,0.00189772
4827,0,0,1.93E-05,0,3.53E-05,0,0.00643892,1.18E-05,3.57E-06,0,0.00254004,3.36E-06,0.0018516,6.30E-06,0.987183,0.00190724
4828,0,0,1.91E-05,0,3.58E-05,0,0.00645527,1.13E-05,4.38E-06,0,0.00254133,2.79E-06,0.00185324,6.17E-06,0.987165,0.0019054
4829,0,0,1.89E-05,0,3.71E-05,0,0.00645282,1.17E-05,4.19E-06,0,0.00253987,2.93E-06,0.00185271,6.50E-06,0.987174,0.00189925
4830,0,0,1.85E-05,0,3.71E-05,0,0.00645559,1.20E-05,3.99E-06,0,0.00253161,3.39E-06,0.00186246,5.78E-06,0.987173,0.00189657
4831,0,0,1.93E-05,0,3.70E-05,0,0.00644696,1.26E-05,3.99E-06,0,0.00252881,3.36E-06,0.00186689,6.09E-06,0.987175,0.00190049
4832,0,0,1.95E-05,0,3.62E-05,0,0.00645212,1.31E-05,3.38E-06,0,0.00253156,3.58E-06,0.00185558,5.97E-06,0.987183,0.00189598
4833,0,0,1.99E-05,0,3.62E-05,0,0.00645752,1.34E-05,3.35E-06,0,0.00252078,3.35E-06,0.00185659,5.87E-06,0.987196,0.00188718
4834,0,0,2.04E-05,0,3.53E-05,0,0.006461,1.34E-05,3.59E-06,0,0.00251373,3.59E-06,0.00185991,5.79E-06,0.987192,0.00189143
4835,0,0,2.04E-05,0,3.55E-05,0,0.00646654,1.37E-05,3.36E-06,0,0.00251143,3.57E-06,0.00186289,5.67E-06,0.987189,0.00188767
4836,0,0,2.15E-05,0,3.64E-05,0,0.00645261,1.35E-05,3.18E-06,0,0.00251329,3.58E-06,0.00187153,5.77E-06,0.987196,0.00188208
4837,0,0,2.10E-05,0,3.75E-05,0,0.00645415,1.28E-05,3.14E-06,0,0.00251028,3.77E-06,0.001877,5.87E-06,0.987193,0.00188119
4838,0,0,1.96E-05,0,3.55E-05,0,0.00644349,1.32E-05,3.19E-06,0,0.00250646,3.19E-06,0.00186628,5.98E-06,0.987229,0.00187446
4839,0,0,1.95E-05,0,3.49E-05,0,0.00644843,1.28E-05,3.36E-06,0,0.00250264,3.36E-06,0.00186485,5.88E-06,0.987234,0.00187031
4840,0,0,1.95E-05,0,3.58E-05,0,0.00644837,1.21E-05,3.38E-06,0,0.00250238,3.38E-06,0.00186768,5.97E-06,0.987234,0.00186768
4841,0,0,1.95E-05,0,3.69E-05,0,0.00643318,1.19E-05,3.14E-06,0,0.00250253,3.35E-06,0.00186401,6.29E-06,0.987251,0.0018682
4842,0,0,1.93E-05,0,3.63E-05,0,0.00643818,1.14E-05,3.39E-06,0,0.0024958,2.99E-06,0.00185749,5.98E-06,0.987262,0.00186667
4843,0,0,1.95E-05,0,3.63E-05,0,0.00642276,1.18E-05,3.36E-06,0,0.0024967,3.15E-06,0.00185793,6.30E-06,0.987279,0.00186318
4844,0,0,1.77E-05,0,3.66E-05,0,0.0064112,1.15E-05,3.58E-06,0,0.0024963,2.59E-06,0.00185729,6.17E-06,0.987296,0.00186107
4845,0,0,1.78E-05,0,3.63E-05,0,0.00639096,1.15E-05,3.77E-06,0,0.00249861,2.31E-06,0.00185834,5.66E-06,0.987313,0.00186127
4846,0,0,1.66E-05,0,3.71E-05,0,0.00636935,1.12E-05,3.59E-06,0,0.00250259,2.99E-06,0.00186209,5.78E-06,0.987327,0.00186169
4847,0,0,1.64E-05,0,3.63E-05,0,0.00637914,1.09E-05,3.36E-06,0,0.00250712,3.15E-06,0.0018573,5.67E-06,0.987315,0.0018657
4848,0,0,1.61E-05,0,3.68E-05,0,0.00639394,1.10E-05,3.78E-06,0,0.00250571,2.99E-06,0.00185219,5.98E-06,0.987302,0.00186932
4849,0,0,1.57E-05,0,3.63E-05,0,0.00639766,1.09E-05,3.77E-06,0,0.00250405,2.73E-06,0.00185015,6.08E-06,0.987303,0.00186923
4850,0,0,1.44E-05,0,3.39E-05,0,0.0063925,1.18E-05,3.39E-06,0,0.00249726,2.39E-06,0.00185041,6.38E-06,0.987313,0.00187494
4851,0,0,1.47E-05,0,3.40E-05,0,0.00639461,1.18E-05,3.57E-06,0,0.00250017,2.52E-06,0.00184973,6.30E-06,0.987307,0.00187534
4852,0,0,1.47E-05,0,3.47E-05,0,0.0064001,1.22E-05,3.79E-06,0,0.00251131,2.59E-06,0.0018658,6.18E-06,0.987265,0.00188393
4853,0,0,1.49E-05,0,3.48E-05,0,0.00639142,1.22E-05,3.99E-06,0,0.002515,2.73E-06,0.00187005,5.66E-06,0.987259,0.00188997
4854,0,0,1.46E-05,0,3.33E-05,0,0.00640169,1.24E-05,3.99E-06,0,0.00251299,2.79E-06,0.0018667,5.58E-06,0.987255,0.00189142
4855,0,0,1.43E-05,0,3.36E-05,0,0.00640614,1.26E-05,4.20E-06,0,0.00252014,2.52E-06,0.00186544,5.46E-06,0.987246,0.00188916
4856,0,0,1.37E-05,0,3.45E-05,0,0.0064162,1.28E-05,3.98E-06,0,0.00251715,2.39E-06,0.00186903,5.58E-06,0.987237,0.00188816
4857,0,0,1.41E-05,0,3.29E-05,0,0.00641182,1.26E-05,3.98E-06,0,0.00251666,2.52E-06,0.00186652,5.45E-06,0.987248,0.00188561
4858,0,0,1.47E-05,0,3.47E-05,0,0.00642764,1.30E-05,3.79E-06,0,0.00251433,2.39E-06,0.00187294,5.98E-06,0.987231,0.00187992
4859,0,0,1.51E-05,0,3.50E-05,0,0.0064357,1.28E-05,3.78E-06,0,0.00251658,2.52E-06,0.00187207,6.29E-06,0.987223,0.00187689
4860,0,0,1.59E-05,0,3.49E-05,0,0.00642641,1.30E-05,3.99E-06,0,0.00251899,2.59E-06,0.00186752,6.58E-06,0.987233,0.00187709
4861,0,0,1.55E-05,0,3.52E-05,0,0.0064352,1.32E-05,3.99E-06,0,0.00250942,2.73E-06,0.00187394,6.50E-06,0.987225,0.00187897
4862,0,0,1.67E-05,0,3.33E-05,0,0.00643444,1.26E-05,3.79E-06,0,0.00252301,2.59E-06,0.00185968,6.97E-06,0.987234,0.00187303
4863,0,0,1.72E-05,0,3.34E-05,0,0.0064439,1.26E-05,3.78E-06,0,0.00252499,2.52E-06,0.00185331,6.50E-06,0.98723,0.00187177
4864,0,0,1.79E-05,0,3.25E-05,0,0.0064443,1.34E-05,3.79E-06,0,0.00252394,2.59E-06,0.00185014,6.78E-06,0.987233,0.00187127
4865,0,0,1.72E-05,0,3.17E-05,0,0.00644166,1.32E-05,3.78E-06,0,0.00252629,2.52E-06,0.00185861,6.93E-06,0.987223,0.0018752
4866,0,0,1.75E-05,0,3.41E-05,0,0.00645215,1.32E-05,3.59E-06,0,0.00253719,2.39E-06,0.00185099,6.58E-06,0.987205,0.00187749
4867,0,0,1.80E-05,0,3.44E-05,0,0.0064634,1.34E-05,3.78E-06,0,0.00252826,2.31E-06,0.00184947,6.50E-06,0.987206,0.00187486
4868,0,0,1.95E-05,0,3.33E-05,0,0.00645863,1.28E-05,3.19E-06,0,0.00252489,2.39E-06,0.00184678,6.58E-06,0.987232,0.00186033
4869,0,0,1.97E-05,0,3.34E-05,0,0.00645671,1.28E-05,3.36E-06,0,0.00253006,2.31E-06,0.00185652,6.50E-06,0.987213,0.00186597
4870,0,0,1.97E-05,0,3.47E-05,0,0.00643807,1.14E-05,3.39E-06,0,0.0025244,2.39E-06,0.00185568,6.38E-06,0.987238,0.00186604
4871,0,0,1.97E-05,0,3.46E-05,0,0.0064504,1.17E-05,3.36E-06,0,0.00253119,2.31E-06,0.00185565,6.71E-06,0.987219,0.0018653
4872,0,0,2.05E-05,0,3.45E-05,0,0.00643548,1.16E-05,2.79E-06,0,0.00252991,2.59E-06,0.00184876,7.37E-06,0.987243,0.0018639
4873,0,0,2.08E-05,0,3.46E-05,0,0.00643196,1.13E-05,2.31E-06,0,0.0025299,2.73E-06,0.00185505,6.50E-06,0.987241,0.00186365
4874,0,0,2.03E-05,0,3.45E-05,0,0.00642683,1.06E-05,1.99E-06,0,0.00254103,2.99E-06,0.00184712,6.18E-06,0.987256,0.0018523
4875,0,0,2.06E-05,0,3.42E-05,0,0.00642415,1.05E-05,1.89E-06,0,0.00254632,2.73E-06,0.00184899,6.51E-06,0.987252,0.00185235
4876,0,0,2.11E-05,0,3.25E-05,0,0.00641431,9.37E-06,1.79E-06,0,0.00253595,2.59E-06,0.00186176,6.98E-06,0.987254,0.00185937
4877,0,0,2.08E-05,0,3.34E-05,0,0.00640769,9.23E-06,1.68E-06,0,0.00254499,2.73E-06,0.00186212,7.13E-06,0.987255,0.00185561
4878,0,0,1.91E-05,0,3.41E-05,0,0.00642785,8.77E-06,1.99E-06,0,0.00253885,2.59E-06,0.00187204,6.98E-06,0.987246,0.00184154
4879,0,0,1.93E-05,0,3.40E-05,0,0.00643645,9.02E-06,2.10E-06,0,0.00254302,2.52E-06,0.00187127,6.93E-06,0.987235,0.00184021
4880,0,0,1.77E-05,0,3.39E-05,0,0.0064482,9.16E-06,1.79E-06,0,0.00253178,2.39E-06,0.00186337,6.57E-06,0.98725,0.00183489
4881,0,0,1.80E-05,0,3.31E-05,0,0.00645018,9.02E-06,1.89E-06,0,0.00253553,2.31E-06,0.00186253,6.71E-06,0.987236,0.00184429
4882,0,0,1.83E-05,0,3.51E-05,0,0.00644892,9.77E-06,1.99E-06,0,0.00254252,1.99E-06,0.00186189,5.78E-06,0.987234,0.00183976
4883,0,0,1.87E-05,0,3.42E-05,0,0.00644738,9.86E-06,2.10E-06,0,0.00254383,2.10E-06,0.0018583,5.88E-06,0.987242,0.00183563
4884,0,0,1.75E-05,0,3.23E-05,0,0.00644268,1.04E-05,1.99E-06,0,0.00255942,2.19E-06,0.00187589,6.57E-06,0.98721,0.00184142
4885,0,0,1.68E-05,0,3.21E-05,0,0.00644315,1.05E-05,2.10E-06,0,0.00256627,1.89E-06,0.00188192,6.92E-06,0.987195,0.00184333
4886,0,0,1.55E-05,0,3.11E-05,0,0.00642838,1.06E-05,2.19E-06,0,0.00256968,1.99E-06,0.0018852,7.18E-06,0.987203,0.00184474
4887,0,0,1.57E-05,0,3.08E-05,0,0.00642794,1.09E-05,1.89E-06,0,0.00257554,1.89E-06,0.00188686,7.13E-06,0.987197,0.00184405
4888,0,0,1.65E-05,0,3.23E-05,0,0.00641879,1.08E-05,1.99E-06,0,0.0025778,1.79E-06,0.00187188,6.97E-06,0.987222,0.0018396
4889,0,0,1.66E-05,0,3.27E-05,0,0.00643093,1.09E-05,2.10E-06,0,0.0025722,1.89E-06,0.00187273,7.13E-06,0.987204,0.00184882
4890,0,0,1.67E-05,0,3.21E-05,0,0.0064401,1.04E-05,1.79E-06,0,0.00256699,1.99E-06,0.00187665,7.58E-06,0.987206,0.00183957
4891,0,0,1.66E-05,0,3.25E-05,0,0.00645651,1.07E-05,1.47E-06,0,0.0025643,1.89E-06,0.00187527,7.35E-06,0.987187,0.00184673
4892,0,0,1.65E-05,0,3.27E-05,0,0.00646487,1.10E-05,1.59E-06,0,0.00255746,1.59E-06,0.00188149,7.57E-06,0.987194,0.00183148
4893,0,0,1.68E-05,0,3.21E-05,0,0.00645265,1.13E-05,1.68E-06,0,0.00255929,1.68E-06,0.00187726,7.55E-06,0.987204,0.00183574
4894,0,0,1.67E-05,0,3.23E-05,0,0.00647069,1.02E-05,1.79E-06,0,0.00254335,1.99E-06,0.00188026,7.77E-06,0.987209,0.00182625
4895,0,0,1.57E-05,0,3.15E-05,0,0.0064674,1.01E-05,1.89E-06,0,0.00255255,1.89E-06,0.00188284,7.76E-06,0.987198,0.0018308
4896,0,0,1.51E-05,0,3.09E-05,0,0.0064813,1.06E-05,1.99E-06,0,0.00255589,1.79E-06,0.0018803,7.37E-06,0.98718,0.00183426
4897,0,0,1.51E-05,0,3.10E-05,0,0.00647857,1.09E-05,1.68E-06,0,0.00255211,1.89E-06,0.00188498,7.34E-06,0.987175,0.00184134
4898,0,0,1.49E-05,0,3.03E-05,0,0.00647535,1.12E-05,1.40E-06,0,0.00254102,1.59E-06,0.00188544,7.97E-06,0.987189,0.00184159
4899,0,0,1.38E-05,0,3.13E-05,0,0.00647787,1.07E-05,1.47E-06,0,0.00253475,1.68E-06,0.00188607,8.39E-06,0.987198,0.00183592
4900,0,0,1.24E-05,0,3.25E-05,0,0.00646157,1.10E-05,1.40E-06,0,0.00254341,1.59E-06,0.00188065,9.37E-06,0.987213,0.00183281
4901,0,0,1.24E-05,0,3.19E-05,0,0.00648557,1.13E-05,1.47E-06,0,0.00254538,1.47E-06,0.0018827,9.65E-06,0.98719,0.00182793
4902,0,0,1.14E-05,0,3.29E-05,0,0.00646248,1.32E-05,1.79E-06,0,0.00254845,1.39E-06,0.00187313,9.76E-06,0.987228,0.00181773
4903,0,0,1.11E-05,0,3.40E-05,0,0.00646058,1.30E-05,1.89E-06,0,0.00254571,1.47E-06,0.00186974,9.86E-06,0.987233,0.00181917
4904,0,0,1.10E-05,0,3.33E-05,0,0.00646138,1.30E-05,1.59E-06,0,0.00254544,1.59E-06,0.00188053,9.57E-06,0.98722,0.00182293
4905,0,0,1.03E-05,0,3.38E-05,0,0.00646258,1.32E-05,1.68E-06,0,0.00253502,1.68E-06,0.00187945,9.23E-06,0.987229,0.00182448
4906,0,0,1.08E-05,0,3.37E-05,0,0.00645944,1.30E-05,1.59E-06,0,0.00253555,1.99E-06,0.00187505,9.17E-06,0.987236,0.00182383
4907,0,0,1.05E-05,0,3.44E-05,0,0.00647136,1.30E-05,1.68E-06,0,0.00253392,1.89E-06,0.00186919,9.02E-06,0.987227,0.00182807
4908,0,0,1.12E-05,0,3.33E-05,0,0.00644706,1.18E-05,1.59E-06,0,0.00253099,1.79E-06,0.00186317,8.77E-06,0.987262,0.00182869
4909,0,0,1.11E-05,0,3.36E-05,0,0.00644515,1.15E-05,1.68E-06,0,0.00253656,1.89E-06,0.00186293,8.60E-06,0.987256,0.00183062
4910,0,0,1.14E-05,0,3.39E-05,0,0.00644336,1.18E-05,2.19E-06,0,0.00253668,1.79E-06,0.00186514,8.97E-06,0.987253,0.00183225
4911,0,0,1.15E-05,0,3.46E-05,0,0.00645161,1.24E-05,2.31E-06,0,0.00253499,1.89E-06,0.00186736,8.60E-06,0.987247,0.00182749
4912,0,0,1.18E-05,0,3.53E-05,0,0.00643969,1.22E-05,2.39E-06,0,0.00252721,2.19E-06,0.00186197,8.37E-06,0.987276,0.00182331
4913,0,0,1.22E-05,0,3.57E-05,0,0.00644831,1.28E-05,2.31E-06,0,0.00253875,1.89E-06,0.00186698,8.18E-06,0.987247,0.00182586
4914,0,0,1.32E-05,0,3.31E-05,0,0.00645809,1.36E-05,2.19E-06,0,0.00254126,2.59E-06,0.00185815,7.38E-06,0.987248,0.00182247
4915,0,0,1.26E-05,0,3.42E-05,0,0.00644357,1.32E-05,2.31E-06,0,0.0025347,2.52E-06,0.00185643,7.35E-06,0.98727,0.00182306
4916,0,0,1.29E-05,0,3.43E-05,0,0.00644927,1.29E-05,2.19E-06,0,0.0025313,2.59E-06,0.00186596,7.37E-06,0.987237,0.00184404
4917,0,0,1.30E-05,0,3.42E-05,0,0.00645268,1.30E-05,2.31E-06,0,0.00252772,2.52E-06,0.00187397,7.34E-06,0.987228,0.00184545
4918,0,0,1.32E-05,0,3.29E-05,0,0.00647498,1.38E-05,2.19E-06,0,0.00251521,2.79E-06,0.00187768,6.98E-06,0.987202,0.00185874
4919,0,0,1.26E-05,0,3.30E-05,0,0.006488,1.41E-05,1.89E-06,0,0.00251517,2.94E-06,0.0018805,7.14E-06,0.987185,0.0018595
4920,0,0,1.29E-05,0,3.29E-05,0,0.00649444,1.49E-05,1.79E-06,0,0.00251337,2.99E-06,0.0018784,7.37E-06,0.987172,0.00186864
4921,0,0,1.28E-05,0,3.25E-05,0,0.00647771,1.51E-05,1.68E-06,0,0.00250777,2.94E-06,0.0018813,7.13E-06,0.987194,0.00186725
4922,0,0,1.28E-05,0,3.33E-05,0,0.00649189,1.69E-05,1.60E-06,0,0.00250532,2.39E-06,0.00188482,7.38E-06,0.987172,0.00187206
4923,0,0,1.26E-05,0,3.38E-05,0,0.00649456,1.74E-05,1.68E-06,0,0.0025111,2.52E-06,0.00188332,7.56E-06,0.987162,0.00187304
4924,0,0,1.39E-05,0,3.35E-05,0,0.00647389,1.63E-05,1.99E-06,0,0.00250624,2.39E-06,0.0018868,7.17E-06,0.987182,0.00187584
4925,0,0,1.36E-05,0,3.31E-05,0,0.00646795,1.68E-05,2.10E-06,0,0.00250551,2.52E-06,0.00189062,7.34E-06,0.987182,0.00187824
4926,0,0,1.34E-05,0,3.43E-05,0,0.00649712,1.73E-05,1.99E-06,0,0.00250141,2.79E-06,0.0018924,6.58E-06,0.987153,0.00187924
4927,0,0,1.38E-05,0,3.44E-05,0,0.00648355,1.74E-05,2.10E-06,0,0.0024995,2.73E-06,0.00188679,6.29E-06,0.987171,0.0018826
4928,0,0,1.55E-05,0,3.31E-05,0,0.00648437,1.63E-05,2.39E-06,0,0.00251571,2.99E-06,0.00189157,5.78E-06,0.987152,0.00188001
4929,0,0,1.59E-05,0,3.25E-05,0,0.00649165,1.64E-05,2.52E-06,0,0.00251465,2.94E-06,0.0018938,5.87E-06,0.987148,0.00187555
4930,0,0,1.59E-05,0,3.05E-05,0,0.00648558,1.53E-05,2.79E-06,0,0.00251719,2.99E-06,0.00190179,5.78E-06,0.987149,0.00187329
4931,0,0,1.66E-05,0,3.11E-05,0,0.00649043,1.55E-05,2.94E-06,0,0.0025133,3.15E-06,0.00189961,5.87E-06,0.987145,0.00187695
4932,0,0,1.67E-05,0,3.05E-05,0,0.00650358,1.45E-05,2.59E-06,0,0.00250981,3.19E-06,0.00189964,5.78E-06,0.987126,0.00188729
4933,0,0,1.68E-05,0,2.96E-05,0,0.0064985,1.47E-05,2.73E-06,0,0.00250576,3.36E-06,0.00190397,5.87E-06,0.987135,0.00188404
4934,0,0,1.73E-05,0,3.01E-05,0,0.00650591,1.47E-05,2.39E-06,0,0.00251282,3.19E-06,0.00190568,5.58E-06,0.987122,0.00187998
